Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MA,2015,"12        ",Female,17,Right-Handed,,,,2,Bus,30,.4,44,Other,500,876,409,234,1000,1000,,"Left foot",,,"Ring finger",August,Spring,Yes,No,Desserts,Water,History,7,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",10,8,0,1,3,2,0,0,3,2,2,0,3,4,"A lot","Graduate degree",Other,Telepathy,Happy,"Religious figure",Health
USA,OH,2015,"12        ",Female,16,Right-Handed,168,25,166,1,Car,13,0.449,51,Basketball,700,650,400,400,1000,1000,26,"Left foot",8,7,"Index finger",December,Winter,Yes,No,Pizza/Pasta,Milk,"Mathematics and statistics",5,8,3,"Yes - dial-up connection","In person",7,5,.25,.05,25,5,.25,.05,.2,.5,14,7,0,.75,"A lot","Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Relative,Health
USA,PA,2015,"12        ",Female,17,Right-Handed,165,26,155,1,Car,8,.48,49,Tennis,1000,500,500,700,500,1000,26,"Same length",800,900,"Ring finger",July,Summer,Yes,No,Meat,"Sports drink",English,7,10,6,"Yes - broadband connection","Text messaging",100,100,24,2,3,72,4,0,10,24,24,21,20,5,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,"Education/Youth development"
USA,PA,2015,"12        ",Male,17,Right-Handed,177.8,25,178,2,Car,10,.394,55,Athletics,950,950,700,925,900,1000,25,"Same length",83,80,"Index finger",August,Summer,Yes,No,Fruit,Juice,"Physical education",6,8,4,"Yes - other","Text messaging",30,35,6,.5,4,12,12,10,6,2,20,2,12,2,Some,"Undergraduate degree","Rap/Hip hop",Fly,Rich,"Business person",Environment
USA,CA,2015,"12        ",Male,17,Right-Handed,175,28,171,1,Car,20,.237,37,Walking/Hiking,700,900,900,800,850,850,27,"Right foot",76.2,127,"Ring finger",March,Winter,No,No,"Rice/Noodle dishes",Water,"Social studies",7,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",15,20,12,1,21,14,3,11,14,2,70,0,0,4,"Very little","Graduate degree",Other,"Freeze time",Happy,"Doctor or nurse","Education/Youth development"
USA,OH,2015,"12        ",Male,16,Right-Handed,185,27,186,2,Car,32,.334,34,Other,600,500,400,600,100,1000,26,"Right foot",83,82,"Index finger",June,Spring,No,No,Meat,Water,Science,7,11,4,"Yes - broadband connection","In person",30,120,19,.1,11,7,15,3,2,4,15,4,2,5,"A lot","Graduate degree",Other,Telepathy,Happy,Other,Health
USA,CA,2015,"12        ",Female,17,Right-Handed,164,24,,2,Car,5,0.312,41,Swimming,600,700,800,500,1000,1000,23,"Right foot",66,75,"Ring finger",February,Fall,No,No,Salads,Water,"Mathematics and statistics",6,9,4,"Yes - other","Internet chat or instant messaging",6,13,7,0,40,15,0,0,45,30,80,10,0,2,Some,"Graduate degree",Other,"Freeze time",Happy,Relative,Religious
USA,PA,2015,"12        ",Male,17,Right-Handed,177.8,25.1,176.5,3,Bus,12,0.272,48,"Martial Arts",834,759,941,941,984,1000,26.6,"Left foot",94,101,"Ring finger",September,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",5,10,3,"Yes - broadband connection","In person",100,100,39,0.25,14,28,4,5,35,3,50,7,0,15,Some,"Graduate degree",Techno/Electronic,"Freeze time",Happy,Relative,Health
USA,AL,2015,"12        ",Male,17,Right-Handed,181.5,30.45,182.7,2,Bus,41,0.551,54,Basketball,,,,,,,30.45,"Same length",850,950,"Ring finger",March,Spring,No,No,Meat,Water,Art,5,6,6,"Yes - other","In person",0,0,,0,,,,,,,,,,,"A lot",Other,"Rap/Hip hop","Freeze time",Rich,Other,Health
USA,CO,2015,"12        ",Male,17,Right-Handed,181,26.5,186,1,Bicycle,10,.488,45,Other,400,290,250,450,0,0,27,"Left foot",97,101,"Ring finger",October,Summer,Yes,No,Meat,Water,Music,8,9,5,"Yes - broadband connection","Cell phone",150,150,2,1,6,72,30,5,2,3,2,10,24,72,"A lot","High school",Country,Telepathy,Happy,Relative,"Wildlife, animals"
USA,MN,2015,"12        ",Female,15,Right-Handed,175,23,170,1,Car,3,0.376,36,Dancing,9,8,10,7,7,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2015,"12        ",Female,18,Right-Handed,167,25,170,1,Car,25,.519,38,Walking/Hiking,1000,1000,1000,1000,0,1000,26,"Left foot",90,85,"Index finger",December,Summer,No,Yes,Fruit,Water,Art,6,10,4,"Yes - other","Text messaging",6,10,28,0,14,11,0,7,14,30,30,7,0,14,Some,"Graduate degree","Punk rock",Invisibility,Happy,Relative,"Wildlife, animals"
USA,TX,2015,"12        ",Male,16,Right-Handed,170.2,28,170,2,Car,5,0.833,58,Bowling,200,200,200,200,800,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2015,"12        ",Male,18,Right-Handed,166,25,173,2,"Rail (Train/Tram/Subway)",35,0.43,50,"Martial Arts",900,800,1000,800,900,1000,25,"Same length",95,105,"Ring finger",March,Summer,No,No,Meat,Juice,"Computers and technology",6,8,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,90,18,3,21,28,10,28,12,10,24,10,0,15,Some,"Graduate degree",Pop,"Super strength",Rich,"Business person",Environment
USA,OK,2015,"12        ",Female,17,Right-Handed,150,24,147,1,Car,13,2,3,Tennis,1000,500,1000,0,100,1000,24,"Left foot",9,100,"Ring finger",May,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",6,7,5,"Yes - broadband connection","Text messaging",100,150,20,0,4,6,0,3,10,17,10,2,30,6,"A lot","Graduate degree","Punk rock",Telepathy,Happy,Friend,"Wildlife, animals"
USA,NJ,2015,"12        ",Female,17,Right-Handed,170,25,165,2,Bus,25,0.42,43,Dancing,900,700,560,400,1000,1000,25,"Same length",84,86,"Ring finger",July,Fall,Yes,No,Pizza/Pasta,Water,History,7,12,2,"Yes - broadband connection","Text messaging",144,203,35,1,15,10,6,0,100,90,50,40,0,2,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,TN,2015,"12        ",Female,17,Right-Handed,164,23,164,1,Car,11,0.731,52,Swimming,500,600,700,400,200,800,23,"Same length",70,74,"Ring finger",August,Summer,Yes,No,Seafood,"Soft drink (caffeinated)",Art,7,9,5,"Yes - other","Text messaging",150,150,15,3,5,15,0,20,20,160,100,4,5,0,"A lot","Graduate degree",Country,Telepathy,Happy,Friend,Health
USA,OR,2015,"12        ",Female,17,Left-Handed,168,23,168,1,Car,10,.6,47,Running/Jogging,900,900,850,800,200,400,22.5,"Right foot",9.5,9.4,"Same length",July,Summer,Yes,No,Pizza/Pasta,Water,Science,8,7,2,"Yes - broadband connection","In person",100,105,10,2,5,4,5,0,2,2,3,7,8,2,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,"Doctor or nurse",Health
USA,VA,2015,"12        ",Male,18,Right-Handed,181,27,178,2,Car,12,.3618,39,Swimming,700,700,500,400,950,1000,27.5,"Left foot",80,75,"Index finger",June,Winter,No,No,Meat,Water,History,8,8,6,"Yes - other","Text messaging",85,120,7,1,4,15,4,3,9,9,9,8,30,7,Some,"Graduate degree",Other,"Freeze time",Rich,"Sports person",Health
USA,CA,2015,"12        ",Female,17,Right-Handed,168,23,80,1,Car,20,0.459,60,Other,10,10,10,10,900,650,23,"Same length",65,63,"Index finger",February,Winter,No,No,"No favorite",Water,English,9,11,6,"Yes - broadband connection","In person",4,0,15,0,15,30,10,0,0,0,15,20,10,15,"Very little","Some college",Other,Invisibility,Famous,Relative,Health
USA,CA,2015,"12        ",Female,18,Right-Handed,152.4,23,154,2,Walk,5,0.993,40,Walking/Hiking,500,1000,1000,1000,1000,1000,22,"Right foot",70,80,"Ring finger",August,Winter,No,No,Seafood,Water,"Mathematics and statistics",9,10,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,120,7,2,0,4,0,1,4,8,1,3,12,5,"A lot","Graduate degree",Other,Invisibility,Rich,Other,Health
USA,VA,2015,"12        ",Female,17,Right-Handed,170,22,163,1,Car,7,.326,43.6,Walking/Hiking,300,300,300,300,300,300,22,"Same length",70,70,"Same length",May,Fall,Yes,No,Meat,Tea,,7,9,5,"Yes - broadband connection","Text messaging",15,15,4,0,8,20,15,0,3,2,2,3,0,8,Some,Other,Country,"Freeze time",Rich,Relative,Health
USA,PA,2015,"12        ",Female,18,Right-Handed,57,23,64,1,Car,5,.311,45,"Hockey (Field)",,,,,,,22,"Right foot",60,65,"Ring finger",March,Fall,No,,Pizza/Pasta,Milk,Art,8,5,4,"Yes - broadband connection","Text messaging",70,70,120,5,5,50,8,0,160,168,0,2,12,2,"Very little","Graduate degree",Pop,Telepathy,Rich,Friend,"Wildlife, animals"
USA,VA,2015,"12        ",Male,17,Right-Handed,191,33,180,1,Car,5,.28,36,Baseball/Softball,500,500,501,850,500,800,33,"Same length",110,95,"Index finger",July,Fall,No,No,Meat,Tea,History,7.5,9,4,"Yes - broadband connection","Text messaging",250,250,10,1,5,5,15,2,7,4,3,5,20,3,"A lot","Graduate degree",Country,"Super strength",Rich,"Sports person","Education/Youth development"
USA,CO,2015,"12        ",Female,17,Left-Handed,167,,,2,Car,15,,,Athletics,,,,,,,,"Same length",,,"Index finger",November,Fall,No,No,"Rice/Noodle dishes",Water,Other,7,11,3,"Yes - broadband connection","In person",,,,,,,,,,,,,,,"A lot","Undergraduate degree",Country,Telepathy,Happy,Relative,Religious
USA,NH,2015,"12        ",Male,17,Right-Handed,70,26,177,2,Car,20,.271,37,None,500,500,300,700,1000,1000,26,"Same length",45,49,"Ring finger",May,Summer,No,No,Seafood,Water,Science,8,10,3,"Yes - other","Text messaging",75,75,5,5,5,5,5,5,5,5,5,5,5,5,Some,"Graduate degree",Techno/Electronic,Telepathy,Happy,"Musician or singer",Health
USA,PA,2015,"12        ",Male,18,Right-Handed,191,28,189,1,Car,10,.375,61,Basketball,487,615,765,652,749,706,27.94,"Same length",100,80,"Index finger",July,Spring,Yes,No,Pizza/Pasta,Milk,Science,8,9,4,"Yes - other","In person",5,5,5,.2,5,5,12,0,.05,.5,3,6,0,4,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Religious
USA,IN,2015,"12        ",Male,17,Right-Handed,180,28,189,1,Car,5,0.52,40,"Football (American)",1000,1000,1000,1000,1000,1000,27.5,"Right foot",8.5,9,"Ring finger",October,Summer,Yes,No,Meat,Water,History,10,12,4,"Yes - broadband connection","Cell phone",200,200,10,8,6,14,16,3,24,16,12,18,24,20,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,Friend,"Arts, culture, sports"
USA,CA,2015,"12        ",Male,16,Right-Handed,162.5,25.5,16.5,1,Car,15,0.411,44,Other,239,350,610,590,520,420,25.5,"Same length",60,80,"Ring finger",November,Winter,Yes,No,Meat,Water,Music,5,4,6,"Yes - broadband connection","Text messaging",1,1,8,1,5,3,1,3,0.5,3,9,6,0,6,Some,"Graduate degree","Rock and roll",Telepathy,Happy,"Musician or singer","Arts, culture, sports"
USA,NY,2015,"12        ",Male,16,Right-Handed,166,25,176,2,"Rail (Train/Tram/Subway)",30,0.322,30,Basketball,1000,1000,1000,1000,900,900,26,"Left foot",85,93,"Ring finger",August,Summer,Yes,No,Poultry,Juice,"Mathematics and statistics",5,10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",126,120,20,1,25,0,5,25,56,56,56,0,6,0,"A lot","Graduate degree","Punk rock","Freeze time",Happy,Other,"International aid"
USA,IL,2015,"12        ",Male,18,Right-Handed,180,27,175,2,Walk,20,.363,36,Swimming,999,900,1000,1000,1000,1000,27,"Same length",80,90,"Ring finger",November,Winter,No,No,Meat,"Soft drink (caffeinated)",Music,5,10,4,"Yes - broadband connection","Text messaging",0,0,6,2,3,0,6,2,1,1,3,0,0,0,Some,"Undergraduate degree",Techno/Electronic,"Freeze time",Rich,Other,Other
USA,VA,2015,"12        ",Male,17,Right-Handed,183,24,179,1,Car,5,.253,51,Soccer,500,250,300,300,300,500,24,"Same length","72 ",81,"Ring finger",April,Spring,No,No,Seafood,Water,"Physical education",6,9,3,"Yes - broadband connection","Cell phone",100,100,10,1,0,20,15,0,10,84,10,5,20,0,None,Other,"Rap/Hip hop",Invisibility,Rich,"Coach or club leader","Arts, culture, sports"
USA,NC,2015,"12        ",Female,15,Right-Handed,157,23,156,2,Bus,60,0.402,38,None,1000,900,1000,1000,1000,1000,22,"Right foot",6.4,6.4,"Same length",May,Fall,No,No,Fruit,Coffee,Music,5,9,3,"Yes - broadband connection","Cell phone",50,75,0,0,10,21,0,0,25,7,14,0,0,7,"A lot",Other,"Punk rock",Telepathy,Famous,"Musician or singer","Arts, culture, sports"
USA,AL,2015,"12        ",Female,16,Right-Handed,163,22,159,1,Car,15,0.509,37,Dancing,,,,,,,22,"Same length",6.5,6.8,"Ring finger",June,Spring,Yes,No,Fruit,Water,History,8,11,3,"Yes - broadband connection","In person",10,7,40,2,8,50,30,0,90,20,90,40,0,10,Some,"Graduate degree",Pop,"Freeze time",Happy,Relative,"International aid"
USA,PA,2015,"12        ",Male,17,Right-Handed,72,14,24,1,Bus,15,.384,51,"Football (American)",1000,1000,1000,1000,500,400,14,"Same length",60,30,"Same length",June,Summer,No,No,"No favorite","Soft drink (caffeinated)","Mathematics and statistics",8,8,4,"Yes - other","Text messaging",150,200,15,6,10,10,5,60,12,15,12,60,20,20,Some,"Undergraduate degree",Other,Invisibility,Rich,Other,"Wildlife, animals"
USA,IN,2015,"12        ",Male,18,Right-Handed,184,28,187,2,Car,18,.395,50,"Football (American)",500,575,600,789,467,897,29,"Left foot",100,80,"Index finger",January,Summer,Yes,No,Poultry,"Sports drink",English,6,10,6,"Yes - broadband connection","Text messaging",100,150,8,2,10,12,12,4,9,7,4,7,18,5,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Coach or club leader",Health
USA,CO,2015,"12        ",Male,16,Right-Handed,66,25,65,2,Car,12,0.43,29,Other,800,500,250,750,500,500,25,"Same length",85,85,"Same length",May,Summer,No,No,"No favorite",Water,"Computers and technology",7,8,3,"Yes - broadband connection","In person",0,0,4,0,14,21,0,10,0,0,10,4,0,15,Some,"Undergraduate degree",Other,"Freeze time",Happy,Relative,Health
USA,CO,2015,"12        ",Male,17,Right-Handed,186,28,185,1,Bus,15,.484,57,"Martial Arts",1000,1000,1000,1000,1000,1000,27,"Right foot",9,8,"Index finger",December,Spring,Yes,No,Pizza/Pasta,Water,Music,6,9,4,"Yes - broadband connection","In person",43,35,10,0,5,8,5,10,6,10,10,0,1,7,Some,"Graduate degree",Jazz,Telepathy,Happy,Other,"Arts, culture, sports"
USA,CA,2015,"12        ",Male,17,Right-Handed,170,25,170,2,Bus,20,0.833,77,Soccer,,,,,,,25,"Right foot",7,6,"Same length",April,Summer,No,No,Pizza/Pasta,Water,Art,9,8,8,"Yes - other","Text messaging",500,500,8,2,1,0,1,1,12,16,16,3,0,2,None,"Graduate degree","Rap/Hip hop",Fly,Happy,Friend,Health
USA,KS,2015,"12        ",Male,17,Right-Handed,185,27,197,1,Car,15,.2,45,Basketball,500,500,700,700,200,300,27,"Same length",80,85,"Ring finger",February,Winter,No,No,Poultry,"Sports drink","Mathematics and statistics",7,7,2,"No internet connection","Text messaging",35,35,6,2,4,5,90,2,2,3,2,7,8,5,Some,"Graduate degree",Country,Telepathy,Healthy,Relative,"Wildlife, animals"
USA,FL,2015,"12        ",Male,17,Right-Handed,168,26,172,1,Car,10,.417,26,Golf,0,250,250,750,500,1000,27,"Left foot",95,95,"Same length",January,Fall,No,No,Poultry,Water,"Mathematics and statistics",7,7,2,"Yes - broadband connection","Text messaging",40,40,15,0,15,7,20,5,2,2,40,0,0,1,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,Other,"Wildlife, animals"
USA,CA,2015,"12        ",Female,16,Right-Handed,167,27,165,2,Car,18,0.458,37,"Martial Arts",500,100,700,1000,200,500,29,"Left foot",100,100,"Same length",June,Fall,No,Yes,Breads/Sandwiches,Water,Science,7,9,5,"Yes - broadband connection","Text messaging",15,40,2,0.2,35,2,12,0,1,1,3,3,0,0.2,"A lot",Other,Pop,Fly,Happy,Relative,"International aid"
USA,VA,2015,"12        ",Female,18,Right-Handed,170.1,27,170,1,Car,15,.24,42,Baseball/Softball,500,500,200,200,700,1000,26,"Right foot",56,56214,"Index finger",November,Fall,Yes,No,Breads/Sandwiches,"Soft drink (caffeinated)",Science,6,12,3,"Yes - other","Cell phone",10,13,69,1,3,0,3,0,70,70,6,76,50,2,"A lot","Graduate degree",Country,"Freeze time",Happy,"Coach or club leader",Health
USA,CA,2015,"12        ",Female,18,Right-Handed,165.1,24,160,1,Car,15,.591,43,Dancing,800,1000,700,850,750,1000,24.5,"Right foot",70,70,"Same length",July,Fall,No,No,"Rice/Noodle dishes",Water,English,7,9,2,"Yes - broadband connection","Text messaging",40,35,45,3,20,10,2,0,25,140,70,10,5,5,"A lot","Graduate degree",Pop,Telepathy,Famous,Relative,Health
USA,TN,2015,"12        ",Male,17,Right-Handed,173,25,167,2,Car,6,.45,47,Other,450,450,450,550,900,950,25,"Same length",63.5,69,"Ring finger",May,Spring,No,No,Other,Milk,Other,6,10,3,"Yes - broadband connection","Internet chat or instant messaging",150,161,16,20,5,9,0,37,2,27,65,4,18,2,Some,Other,Other,"Freeze time",Happy,Teacher,"Arts, culture, sports"
USA,IL,2015,"12        ",Male,17,Ambidextrous,185,29,183,1,Bus,20,.294,51,Athletics,540,267,0,481,861,1000,29,"Same length",75,80,"Ring finger",May,Spring,No,No,Pizza/Pasta,"Sports drink",History,6,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,21,16,1,4,50,25,0,12,5,20,8,26,0,Some,"Graduate degree",Pop,"Super strength",Healthy,Other,"Arts, culture, sports"
USA,MO,2015,"12        ",Male,18,Right-Handed,165.1,23,,3,Car,5,.315,29,Baseball/Softball,246,193,209,214,198,390,23,"Same length",8.9,9,"Ring finger",September,Fall,Yes,No,"Rice/Noodle dishes",Tea,"Physical education",6,12,3,"Yes - other","Text messaging",417,512,,,,,,,,,,,,,,,,,,,
USA,MA,2015,"12        ",Male,17,Right-Handed,183,29,192,2.5,Bicycle,10,.362,32,"Martial Arts",750,500,750,800,900,500,28.5,"Right foot",920,100,"Index finger",August,Fall,Yes,No,Other,Milk,History,6.5,10,4,"Yes - broadband connection","Text messaging",2,2,5,.5,6,4,4,4.5,1,2,2,3,2,2,"A lot","Undergraduate degree","Rap/Hip hop",Fly,Rich,Relative,Environment
USA,MI,2015,"12        ",Male,17,Right-Handed,177.8,25.4,180,1,Car,4,.702,48,Rowing,600,800,750,890,1000,950,25.5,"Left foot",90,76,"Index finger",April,Summer,No,No,Breads/Sandwiches,Water,"Mathematics and statistics",7,8,5,"Yes - broadband connection","Text messaging",7,7,7,1,7,6,14,10,10,7,24,4,20,3,"A lot","Graduate degree",Techno/Electronic,"Freeze time",Happy,"Business person","Education/Youth development"
USA,VA,2015,"12        ",Male,18,Left-Handed,69,29,56,1,Car,5,10,,"Football (American)",0,0,0,0,0,0,29,"Same length",4,5,"Same length",November,Fall,No,No,Meat,Juice,"Physical education",6,10,5,"Yes - other","Text messaging",100,75,5,0,2,0,6,1,10,10,10,2,20,0,None,"High school","Rap/Hip hop",Telepathy,Rich,"Sports person","Arts, culture, sports"
USA,NY,2015,"12        ",Male,18,Right-Handed,184,29,192,2,"Rail (Train/Tram/Subway)",35,.87,43,Other,722,615,540,535,630,738,29,"Same length",190,115,"Ring finger",January,Fall,No,No,Poultry,Tea,"Physical education",7,8,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",15,15,5,1,0,2,0,0,24,20,30,3,0,0,None,"Graduate degree",Pop,"Super strength",Happy,"Coach or club leader","International aid"
USA,OR,2015,"12        ",,17,Right-Handed,83,26.5,188,1,Car,15,3.18,50,Athletics,800,400,600,300,100,50,27,"Left foot",100,110,"Ring finger",October,Summer,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,GA,2015,"12        ",Female,15,Right-Handed,156,23,130,2,Car,3,0.4,39,Dancing,900,900,900,900,800,800,24,"Right foot",127,71,"Index finger",June,Summer,Yes,No,Fruit,Water,History,5,8,4,"Yes - broadband connection","Text messaging",100,175,1,3,17,3,16,0,4,10,5,.5,0,2,"A lot","Graduate degree",Pop,"Freeze time",Happy,Other,"International aid"
USA,OH,2015,"12        ",Male,17,Ambidextrous,172.7,27.5,180,2,Skateboard/Scooter/Rollerblade,5,.244,37,Rowing,605.6,704.6,501.2,320.4,20.43,700.9,27.5,"Same length",10.8,9.9,"Ring finger",April,Summer,Yes,Yes,Seafood,"Soft drink (caffeinated)",Languages,7.5,9.5,3.5,"No internet connection","In person",50,50,10,0,15,6,15,0,0,3,7,3,0,4,Some,"Graduate degree",Classical,Fly,Rich,Actor,"Wildlife, animals"
USA,MA,2015,"12        ",Male,18,Right-Handed,180.3,29.2,170,2,Walk,25,.331,47,Baseball/Softball,717,257,70,176,770,1000,29.2,"Same length",80,85,"Ring finger",October,Summer,No,No,Meat,"Sports drink",History,6,10,6,"Yes - broadband connection","In person",100,100,15,1,2,10,20,14,4,2,1,10,0,0,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,"Sports person",Health
